Stock,Symbol
Indian Renewable Energy Development Agency Limited,IREDA
Indraprastha Gas Limited,IGL
Indus Towers Limited,INDUSTOWER
IndusInd Bank Limited,INDUSINDBK
Info Edge (India) Limited,NAUKRI
Infosys Limited,INFY
InterGlobe Aviation Limited,INDIGO
JK Cement Limited,JKCEMENT
JSW Energy Limited,JSWENERGY
JSW Steel Limited,JSWSTEEL
Jindal Stainless Limited,JSL
Jindal Steel & Power Limited,JINDALSTEL
Jio Financial Services Limited,JIOFIN
Jubilant Foodworks Limited,JUBLFOOD
KEI Industries Limited,KEI
KPIT Technologies Limited,KPITTECH
Kalyan Jewellers India Limited,KALYANKJIL
Kotak Mahindra Bank Limited,KOTAKBANK
L&T Finance Limited,LTF
L&T Technology Services Limited,LTTS
LIC Housing Finance Limited,LICHSGFIN
LTIMindtree Limited,LTIM
Larsen & Toubro Limited,LT
Laurus Labs Limited,LAURUSLABS
Life Insurance Corporation Of India,LICI
Lupin Limited,LUPIN
MRF Limited,MRF
Macrotech Developers Limited,LODHA
Mahanagar Gas Limited,MGL
Mahindra & Mahindra Financial Services Limited,M&MFIN
Mahindra & Mahindra Limited,M&M
Manappuram Finance Limited,MANAPPURAM
Marico Limited,MARICO
Maruti Suzuki India Limited,MARUTI
Max Financial Services Limited,MFSL
Max Healthcare Institute Limited,MAXHEALTH
MphasiS Limited,MPHASIS
Multi Commodity Exchange of India Limited,MCX
Muthoot Finance Limited,MUTHOOTFIN
NBCC (India) Limited,NBCC
NCC Limited,NCC
NHPC Limited,NHPC
NMDC Limited,NMDC
NTPC Limited,NTPC
National Aluminium Company Limited,NATIONALUM
Nestle India Limited,NESTLEIND
Oberoi Realty Limited,OBEROIRLTY
Oil & Natural Gas Corporation Limited,ONGC
Oil India Limited,OIL
One 97 Communications Limited,PAYTM
Oracle Financial Services Software Limited,OFSS
PB Fintech Limited,POLICYBZR
PI Industries Limited,PIIND
Page Industries Limited,PAGEIND
Patanjali Foods Limited,PATANJALI
Persistent Systems Limited,PERSISTENT
Petronet LNG Limited,PETRONET
Pidilite Industries Limited,PIDILITIND
Piramal Enterprises Limited,PEL
Polycab India Limited,POLYCAB
Poonawalla Fincorp Limited,POONAWALLA
Power Finance Corporation Limited,PFC
Power Grid Corporation of India Limited,POWERGRID
Prestige Estates Projects Limited,PRESTIGE
Punjab National Bank,PNB
RBL Bank Limited,RBLBANK
REC Limited,RECLTD
Reliance Industries Limited,RELIANCE
SBI Cards and Payment Services Limited,SBICARD
SBI Life Insurance Company Limited,SBILIFE
SHREE CEMENT LIMITED,SHREECEM
SJVN Limited,SJVN
SRF Limited,SRF
Samvardhana Motherson International Limited,MOTHERSON
Shriram Finance Limited,SHRIRAMFIN
Siemens Limited,SIEMENS
Solar Industries India Limited,SOLARINDS
Sona BLW Precision Forgings Limited,SONACOMS
State Bank of India,SBIN
Steel Authority of India Limited,SAIL
Sun Pharmaceutical Industries Limited,SUNPHARMA
Supreme Industries Limited,SUPREMEIND
Syngene International Limited,SYNGENE
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
TITAGARH RAIL SYSTEMS LIMITED,TITAGARH
TVS Motor Company Limited,TVSMOTOR
Tata Chemicals Limited,TATACHEM
Tata Communications Limited,TATACOMM
Tata Consultancy Services Limited,TCS
Tata Elxsi Limited,TATAELXSI
Tata Motors Limited,TATAMOTORS
Tata Power Company Limited,TATAPOWER
Tata Steel Limited,TATASTEEL
Tata Technologies Limited,TATATECH
Tech Mahindra Limited,TECHM
The Federal Bank Limited,FEDERALBNK
The Indian Hotels Company Limited,INDHOTEL
The Phoenix Mills Limited,PHOENIXLTD
The Ramco Cements Limited,RAMCOCEM
Titan Company Limited,TITAN
Torrent Pharmaceuticals Limited,TORNTPHARM
Torrent Power Limited,TORNTPOWER
Trent Limited,TRENT
Tube Investments of India Limited,TIINDIA
UPL Limited,UPL
UltraTech Cement Limited,ULTRACEMCO
Union Bank of India,UNIONBANK
United Spirits Limited,UNITDSPR
Varun Beverages Limited,VBL
Vedanta Limited,VEDL
Vodafone Idea Limited,IDEA
Voltas Limited,VOLTAS
Wipro Limited,WIPRO
Yes Bank Limited,YESBANK
Zomato Limited,ZOMATO
Zydus Lifesciences Limited,ZYDUSLIFE

